"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1387","Google Assistant Command Lets Users Sync Smart Home Devices https://t.co/rfun4xWtNf https://t.co/QqynA1nMjn",FALSE,0,NA,2017-12-11 20:32:42,FALSE,NA,"940318448080621569",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","dopehorse",0,FALSE,FALSE,NA,NA
"1388","RT @ZDNet: Google Home Max smart speaker is now available for $399 https://t.co/6CViHdmYCu by @jakeosmith",FALSE,0,NA,2017-12-11 20:32:19,FALSE,NA,"940318348386144256",NA,"<a href=""http://twblue.com.mx"" rel=""nofollow"">TW Blue</a>","lprazdnik",4,TRUE,FALSE,NA,NA
"1389","Google Home Syncs Your Smart Home Gadgets With One Phrase https://t.co/qKheckxcC2",FALSE,0,NA,2017-12-11 20:32:18,FALSE,NA,"940318344246423553",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","lifeofanomad",0,FALSE,FALSE,NA,NA
"1390","Google's high-quality Home Max speaker goes on sale for $399 https://t.co/J6XvzHLhDn?amp=1",FALSE,0,NA,2017-12-11 20:32:01,FALSE,NA,"940318274633551873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marciojmsilva",0,FALSE,FALSE,NA,NA
"1391","RT @RealtorDeCaprio: This could be a great rental property for the right investor or handyman home owner. 75 k cash with quick close  
cont…",FALSE,0,NA,2017-12-11 20:31:45,FALSE,NA,"940318206673211393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BerrierReggie",1,TRUE,FALSE,NA,NA
"1392","Pixel AR Stickers are here, Google Home Max now on sale, and Andy Rubin returns",FALSE,0,NA,2017-12-11 20:31:44,FALSE,NA,"940318201103159298",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Leaotigre",0,FALSE,FALSE,NA,NA
"1393","Google Home Max hands-on: Boom goes the smart speaker",FALSE,0,NA,2017-12-11 20:31:43,FALSE,NA,"940318196833415168",NA,"<a href=""http://www.at-group.jp/"" rel=""nofollow"">armanvanp83</a>","armanvanp83",0,FALSE,FALSE,NA,NA
"1394","@TiuChainz There's actually study music you can listen to. You could also google resources that lock you out of cer… https://t.co/yr9RLjlTlS",FALSE,3,"TiuChainz",2017-12-11 20:31:31,TRUE,"940316638670413824","940318147881644034","2384429485","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FirstFNM",0,FALSE,FALSE,NA,NA
"1395","Google's Assistant will help 'sync' your smart home devices https://t.co/7hwkuHNs5s?amp=1",FALSE,0,NA,2017-12-11 20:31:30,FALSE,NA,"940318144287166465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marciojmsilva",0,FALSE,FALSE,NA,NA
"1396","Google Home Mini recovers some touch controls after creepy spying bug
https://t.co/gh9WaQqSB1 https://t.co/0C2x70SLhV via Gizmodo",FALSE,0,NA,2017-12-11 20:31:22,FALSE,NA,"940318111928025088",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ckrchannelnews",0,FALSE,FALSE,NA,NA
