"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"872","RT @FatKidDeals: Get an Amazon Echo Dot for only $29.99, 40% off!

https://t.co/vPmGYky0DB https://t.co/RmuQDxDuIU",FALSE,0,NA,2017-12-11 21:17:53,FALSE,NA,"940329815848116224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FatKidDeals",1,TRUE,FALSE,NA,NA
"873","""Alexa, wake me up to Song of the day"" Glad to have this launched just in time for holidays. Amazon Alexa can now w… https://t.co/x3UJTxFXUj",FALSE,1,NA,2017-12-11 21:17:32,TRUE,NA,"940329728313094146",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","kintan",0,FALSE,FALSE,NA,NA
"874","RT @michaelschaub: Noel Gallagher is the gift that keeps on giving. https://t.co/yCGi2cou75 https://t.co/BjPW6BKeb5",FALSE,0,NA,2017-12-11 21:17:26,FALSE,NA,"940329704837582850",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heatherbarr1",261,TRUE,FALSE,NA,NA
"875","Amazon Alexa can now wake you up to music https://t.co/5wIgvZPMWA",FALSE,0,NA,2017-12-11 21:17:25,FALSE,NA,"940329700974563330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Xinicide",0,FALSE,FALSE,NA,NA
"876","Alexa can finally wake you up before you go-go - CNET: Amazon is going to either give you… https://t.co/BZh3uMYUtn",FALSE,0,NA,2017-12-11 21:17:25,FALSE,NA,"940329700152500225",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","BrightNerds",0,FALSE,FALSE,NA,NA
"877","Alexa can finally wake you up before you go-go     - CNET https://t.co/a2tf2R5dV5",FALSE,0,NA,2017-12-11 21:17:19,FALSE,NA,"940329672566591490",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","markbscotus",0,FALSE,FALSE,NA,NA
"878","Alexa can finally wake you up before you go-go - CNET https://t.co/RY4d3wMcuL",FALSE,0,NA,2017-12-11 21:17:06,FALSE,NA,"940329619399491585",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SmartPhones12",0,FALSE,FALSE,NA,NA
"879","Alexa can finally wake you up before you go-go - CNET https://t.co/aA5JdDKzXe",FALSE,0,NA,2017-12-11 21:17:05,FALSE,NA,"940329617319084033",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Daily_TechNews",0,FALSE,FALSE,NA,NA
"880","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-11 21:16:47,FALSE,NA,"940329541788200967",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmmaSparkles666",1238,TRUE,FALSE,NA,NA
"881","Hey @amazon why doesn't Alexa respond when I call her a bitch?

I thought she was a PERSONAL ASSISTANT",FALSE,1,NA,2017-12-11 21:16:42,FALSE,NA,"940329517142306816",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","cranky_unfun_1",0,FALSE,FALSE,NA,NA
